Patch Panel;Porta;id;Origem;Porta_Origem;Destino;Porta Destino;Teste;Gigabit
PP-B;12;PP-B12;SW-B;12;Prod5;1;;
PP-B;13;PP-B13;SW-B;13;Prod5;2;;
PP-B;14;PP-B14;SW-POE;2;AP2;1;Ap Producao;
PP-B;15;PP-B15;SW-B;15;Sala1;1;;
PP-B;16;PP-B16;SW-B;16;Sala1;2;;
PP-B;17;PP-B17;SW-B;17;Sala2;1;;
PP-B;18;PP-B18;SW-B;18;Sala2;2;;
PP-B;19;PP-B19;SW-B;19;Sala3;1;;
PP-B;20;PP-B20;SW-B;20;Sala3;2;;
PP-B;21;PP-B21;SW-B;21;Sala3;3;;
PP-B;22;PP-B22;SW-B;22;Sala9;1;;
PP-B;23;PP-B23;SW-B;23;Sala9;2;;
PP-B;24;PP-B24;;;;;;
PP-C;1;PP-C1;SW-C;1;Ilha3;1;;
PP-C;2;PP-C2;SW-C;2;Ilha3;2;;
PP-C;3;PP-C3;SW-C;3;Ilha3;3;;
PP-C;4;PP-C4;SW-C;4;Ilha3;4;;
PP-C;5;PP-C5;SW-C;5;Ilha3;5;;
PP-C;6;PP-C6;SW-C;6;Ilha3;6;;
PP-C;7;PP-C7;SW-C;7;Ilha4;1;;
PP-C;8;PP-C8;SW-C;8;Ilha4;2;;
PP-C;9;PP-C9;SW-C;9;Ilha4;3;;
PP-C;10;PP-C10;SW-C;10;Ilha4;4;;
PP-C;11;PP-C11;SW-C;11;Ilha4;5;;
PP-C;12;PP-C12;SW-C;12;Ilha4;6;;
PP-C;13;PP-C13;SW-C;13;Ilha5;1;;
PP-C;14;PP-C14;SW-C;14;Ilha5;2;;
PP-C;15;PP-C15;SW-C;15;Ilha5;3;;
PP-C;16;PP-C16;;;;;;
PP-C;17;PP-C17;;;;;;
PP-C;18;PP-C18;;;;;;
PP-C;19;PP-C19;;;;;;
PP-C;20;PP-C20;;;;;;
PP-C;21;PP-C21;;;;;;
PP-C;22;PP-C22;;;;;;
PP-C;23;PP-C23;;;;;;
PP-C;24;PP-C24;;;;;;
PP-D;1;PP-D1;SW-D;1;Ilha5;5;;
PP-D;2;PP-D2;SW-D;2;Ilha5;6;;
PP-D;3;PP-D3;SW-D;3;Ilha6;1;;
PP-D;4;PP-D4;SW-D;4;Ilha6;2;;
PP-D;5;PP-D5;SW-D;5;Ilha6;3;;
PP-D;6;PP-D6;SW-D;6;Ilha6;4;;
PP-D;7;PP-D7;SW-D;7;Ilha6;5;;
PP-D;8;PP-D8;SW-D;8;Ilha6;6;;
PP-D;9;PP-D9;SW-D;9;Ilha6;7;;
PP-D;10;PP-D10;SW-D;10;Ilha6;8;;
PP-D;11;PP-D11;SW-D;11;Ilha6;9;;
PP-D;12;PP-D12;SW-D;12;Ilha6;10;;
PP-D;13;PP-D13;SW-D;13;Sala4;1;;
PP-D;14;PP-D14;SW-D;14;Sala4;2;;
PP-D;15;PP-D15;SW-D;15;Sala4;3;;
PP-D;16;PP-D16;;;;;;
PP-D;17;PP-D17;;;;;;
PP-D;18;PP-D18;;;;;;
PP-D;19;PP-D19;;;;;;
PP-D;20;PP-D20;;;;;;
PP-D;21;PP-D21;;;;;;
PP-D;22;PP-D22;;;;;;
PP-D;23;PP-D23;;;;;;
PP-D;24;PP-D24;;;;;;
